City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,sur,OM,88.02,overcast clouds,22.57,59.53,Sur Plaza Hotel
499,catamarca,AR,74.43,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
500,pangai,TO,79.12,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
502,piacabucu,BR,87.13,overcast clouds,-10.41,-36.43,Piaçabuçu News
503,san andres,CO,87.8,few clouds,12.58,-81.7,Hotel Arena Blanca
516,mataram,ID,78.8,few clouds,-8.58,116.12,Lombok Garden Hotel
517,pitimbu,BR,82.4,broken clouds,-7.47,-34.81,Reserva do Abiaí
518,kalmunai,LK,83.35,scattered clouds,7.42,81.82,VS Villa
520,vila do maio,CV,82.4,few clouds,15.13,-23.22,Residence 'I Delfini'
528,sao filipe,CV,72.95,broken clouds,14.9,-24.5,Tortuga B&B
529,mananjary,MG,78.21,clear sky,-21.22,48.33,Vahiny Lodge
530,lakatoro,VU,77.0,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
531,carutapera,BR,79.07,overcast clouds,-1.2,-46.02,Lidera
533,lodhran,PK,89.15,clear sky,29.54,71.63,Gulshan e khalil
536,umm lajj,SA,76.96,clear sky,25.02,37.27,Tanal Hotel Apartment
539,razole,IN,80.89,clear sky,16.48,81.83,Hotel Somisetty Landmark Konaseema
544,ixtapa,MX,73.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
546,sao joao da barra,BR,89.6,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
550,sakakah,SA,77.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
558,richards bay,ZA,72.01,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
561,limbang,MY,82.4,broken clouds,4.75,115.0,Purnama Hotel
562,celestun,MX,80.51,overcast clouds,20.87,-90.4,Posada Lilia
564,cairns,AU,77.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
